Date,Open,High,Low,Close,Volume
2020-01-01,308.61,310.67,306.77,307.62,85788921
2020-01-02,307.62,298.01,287.58,289.2,138358551
2020-01-03,289.2,304.97,296.04,298.93,63953367
2020-01-06,298.93,288.74,285.1,287.8,148750923
2020-01-07,287.8,296.8,293.48,293.61,112250665
2020-01-08,293.61,279.18,275.42,276.81,102286002
2020-01-09,276.81,279.36,277.66,278.45,115285250
2020-01-10,278.45,267.41,264.99,267.22,105831368
2020-01-13,267.22,257.61,250.35,253.4,145672411
2020-01-14,253.4,250.12,243.59,248.67,138883975
2020-01-15,248.67,243.78,238.99,242.99,131200125
2020-01-16,242.99,235.92,217.5,230.3,50271836
2020-01-17,230.3,226.49,217.95,221.21,84119117
2020-01-20,221.21,228.85,223.47,228.07,141693393
2020-01-21,228.07,230.17,212.66,223.11,107055419
2020-01-22,223.11,239.87,229.53,234.84,139966606
2020-01-23,234.84,227.65,218.52,227.04,102562567
2020-01-24,227.04,221.07,210.75,215.19,141355424
2020-01-27,215.19,234.71,227.2,230.42,145000616
2020-01-28,230.42,216.99,212.37,216.24,104079037
2020-01-29,216.24,201.15,195.96,200.7,103933927
2020-01-30,200.7,203.59,198.17,200.0,84045666
2020-01-31,200.0,206.74,198.55,200.0,96321408
2020-02-03,200.0,202.58,196.26,200.0,76063245
2020-02-04,200.0,213.36,195.9,210.07,141444238
2020-02-05,210.07,203.68,199.4,200.0,111071026
2020-02-06,200.0,203.86,199.65,200.0,57971379
2020-02-07,200.0,201.2,192.82,200.0,111553124
2020-02-10,200.0,202.32,197.86,200.0,73841962
2020-02-11,200.0,205.98,193.51,200.0,73484187
2020-02-12,200.0,203.29,196.34,200.0,146302107
2020-02-13,200.0,201.32,198.34,200.0,85563453
2020-02-14,200.0,205.59,194.51,200.0,140586459
2020-02-17,200.0,200.7,197.1,200.0,145057280
2020-02-18,200.0,201.02,198.43,200.0,73685747
2020-02-19,200.0,205.85,194.6,200.0,86102853
2020-02-20,200.0,213.77,198.37,209.5,64421668
2020-02-21,209.5,215.79,209.61,214.31,73234510
2020-02-24,214.31,221.84,215.74,217.85,116653416
2020-02-25,217.85,227.69,222.14,225.13,66816569
2020-02-26,225.13,229.23,219.79,228.56,65421040
2020-02-27,228.56,217.83,217.43,217.71,57734102
2020-02-28,217.71,230.1,226.34,228.53,139386386
2020-03-02,228.53,234.76,231.97,233.55,94165849
2020-03-03,233.55,225.2,211.7,216.65,131121402
2020-03-04,216.65,203.63,197.69,200.61,56659908
2020-03-05,200.61,202.48,194.38,200.0,69433354
2020-03-06,200.0,208.06,200.35,202.42,85562619
2020-03-09,202.42,212.55,202.13,210.26,112744322
2020-03-10,210.26,200.32,193.17,200.0,121244178
2020-03-11,200.0,211.37,204.05,207.74,71114003
2020-03-12,207.74,211.08,204.12,208.55,64764960
2020-03-13,208.55,201.89,198.29,200.0,103777024
2020-03-16,200.0,221.2,205.86,210.79,142649393
2020-03-17,210.79,214.03,206.93,210.35,70281689
2020-03-18,210.35,211.46,206.33,206.38,96510960
2020-03-19,206.38,207.88,204.99,206.33,145415947
2020-03-20,206.33,200.82,196.0,200.0,55184502
2020-03-23,200.0,200.61,195.05,200.0,80948143
2020-03-24,200.0,205.28,199.57,200.0,104847136
2020-03-25,200.0,200.91,197.76,200.49,73101383
2020-03-26,200.49,200.93,197.39,200.0,128110973
2020-03-27,200.0,210.47,205.21,205.93,68877237
2020-03-30,205.93,204.87,199.4,200.0,134504547
2020-03-31,200.0,200.06,196.1,200.0,105403796
2020-04-01,200.0,215.89,210.57,212.54,73508102
2020-04-02,212.54,225.59,216.44,220.68,98491183
2020-04-03,220.68,225.59,219.63,220.71,115293686
2020-04-06,220.71,226.77,220.99,223.4,93563237
2020-04-07,223.4,229.93,219.32,223.24,76365210
2020-04-08,223.24,220.16,210.63,219.11,136343264
2020-04-09,219.11,227.2,222.23,223.41,83255876
2020-04-10,223.41,236.0,223.81,223.83,90820227
2020-04-13,223.83,234.46,227.13,227.32,139595920
2020-04-14,227.32,223.87,223.21,223.26,86998516
2020-04-15,223.26,218.21,215.96,217.38,116880548
2020-04-16,217.38,233.02,230.11,230.68,92058334
2020-04-17,230.68,226.45,219.37,223.15,81725526
2020-04-20,223.15,222.97,215.93,216.42,134574185
2020-04-21,216.42,229.9,221.36,222.13,82474983
2020-04-22,222.13,213.93,207.42,212.29,67882750
2020-04-23,212.29,212.07,201.97,206.33,144569232
2020-04-24,206.33,220.51,218.3,220.28,115541801
2020-04-27,220.28,237.02,226.52,228.88,126294551
2020-04-28,228.88,236.05,233.54,233.65,56512440
2020-04-29,233.65,243.79,233.94,239.61,86253447
2020-04-30,239.61,233.25,226.56,230.97,114447435
2020-05-01,230.97,241.34,230.8,238.24,117758014
2020-05-04,238.24,249.31,239.53,239.72,98939582
